Original SMILES	Canonical RDKit SMILES original	Canonical RDKit SMILES PIKAChU
[K]	[K]	[KH]
[C]	[C]	C
[S]	[S]	S
[Ra]	[Ra]	[RaH2]
[Cs]	[Cs]	[CsH]
[Rb]	[Rb]	[RbH]
[OH]	[OH]	O
[Ba]	[Ba]	[BaH2]
[N]=O	[N]=O	N=O
[81Kr]	[81Kr]	[Kr]
[18FH]	[18FH]	F
[82Rb]	[82Rb]	[RbH]
[129Xe]	[129Xe]	[Xe]
[127Xe]	[127Xe]	[Xe]
[133Xe]	[133Xe]	[Xe]
[13NH3]	[13NH3]	N
[123IH]	[123IH]	I
[15OH2]	[15OH2]	O
[223Ra]	[223Ra]	[RaH2]
[76BrH]	[76BrH]	Br
[131Cs]	[131Cs]	[CsH]
[125IH]	[125IH]	I
O=[PH2]O	O=[PH2]O	O=PO
[85SrH2]	[85SrH2]	[SrH2]
N[14C](N)=O	N[14C](N)=O	NC(N)=O
N[13C](N)=O	N[13C](N)=O	NC(N)=O
[11C-]#[O+]	[11C-]#[O+]	[C-]#[O+]
C[11C](=O)O	C[11C](=O)O	CC(=O)O
[18F-].[Na+]	[18F-].[Na+]	[F-].[Na+]
[42K+].[Cl-]	[42K+].[Cl-]	[Cl-].[K+]
[123I-].[Na+]	[123I-].[Na+]	[I-].[Na+]
[131I-].[Na+]	[131I-].[Na+]	[I-].[Na+]
[82Rb+].[Cl-]	[82Rb+].[Cl-]	[Cl-].[Rb+]
OCC(S)CS.[Bi]	OCC(S)CS.[Bi]	OCC(S)CS.[BiH3]
[22Na+].[Cl-]	[22Na+].[Cl-]	[Cl-].[Na+]
[125I-].[Na+]	[125I-].[Na+]	[I-].[Na+]
[124I-].[Na+]	[124I-].[Na+]	[I-].[Na+]
[11CH3]SC(=N)N	[11CH3]SC(=N)N	CSC(=N)N
CC1(C)CC=CN1[O]	CC1(C)CC=CN1[O]	CC1(C)CC=CN1O
Oc1ccc([125I])cc1	Oc1ccc([125I])cc1	Oc1ccc(I)cc1
Oc1cccc([125I])c1	Oc1cccc([125I])c1	Oc1cccc(I)c1
Nc1ccc([125I])cc1	Nc1ccc([125I])cc1	Nc1ccc(I)cc1
N[11C](=O)c1cnccn1	N[11C](=O)c1cnccn1	NC(=O)c1cnccn1
Cl.NCCCC[C@H](N)CS	Cl.NCCCC[C@H](N)CS	Cl.NCCCC[C@@H](N)CS
NN[14C](=O)c1ccncc1	NN[14C](=O)c1ccncc1	NNC(=O)c1ccncc1
NN[11C](=O)c1ccncc1	NN[11C](=O)c1ccncc1	NNC(=O)c1ccncc1
F[14C](F)(F)C(Cl)Br	F[14C](F)(F)C(Cl)Br	FC(F)(F)C(Cl)Br
Cc1nnc(CCC[18F])nn1	Cc1nnc(CCC[18F])nn1	Cc1nnc(CCCF)nn1
O=[32PH]([O-])O.[K+]	O=[32PH]([O-])O.[K+]	O=[PH]([O-])O.[K+]
CC1(C)CCC(C)(C)N1[O]	CC1(C)CCC(C)(C)N1[O]	CC1(C)CCC(C)(C)N1O
Cl.N[C@@H](CS)C(=O)O	Cl.N[C@@H](CS)C(=O)O	Cl.N[C@H](CS)C(=O)O
[89Sr+2].[Cl-].[Cl-]	[89Sr+2].[Cl-].[Cl-]	[Cl-].[Cl-].[Sr+2]
CC([11CH3])(N)C(=O)O	CC([11CH3])(N)C(=O)O	CC(C)(N)C(=O)O
[85Sr+2].[Cl-].[Cl-]	[85Sr+2].[Cl-].[Cl-]	[Cl-].[Cl-].[Sr+2]
C[11C](=O)[O-].[Na+]	C[11C](=O)[O-].[Na+]	CC(=O)[O-].[Na+]
[47Ca+2].[Cl-].[Cl-]	[47Ca+2].[Cl-].[Cl-]	[Ca+2].[Cl-].[Cl-]
